resource,description,review_by,review,mention_by,model_number,review_at,reviews,review_rating,mentions,product_rating,mention_link_fk,number_of_replies
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Scott Alan Miller,Generally good switch. Nothing super fancy but does the trick and more than meets the needs of normal SMB switching environments.,,Power Conect 2748,"Jan 22, 2014",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),David G.,"Would give this 0 stars if possible. I can't believe a switch that is managed and supports vlans and other good features doesn't even have snmp available to it. Just not acceptable, this isn't a 20$ d-link from Best Buy.",,Power Conect 2748,"Sep  9, 2013",16,1.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Brian6694,"This switch has been in operation for 2.5 years and I have never had a problem. Great switch, great price.",,Power Conect 2748,"Jul 22, 2011",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),ITjustworks,Still have two of these in production and they still work great,,Power Conect 2748,"Jul 21, 2011",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),brutto,we have it a at the office pretty good no problem what so ever. too bad that it is been replace by the 2848,,Power Conect 2748,"Feb 27, 2011",16,4.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),TonioTonBa,"We used this switch in a small network where it performed very well. installation and configuration is easy, but, as said before, it has to be in managed mode. Perfect switch",,Power Conect 2748,"Jul  5, 2010",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),PCVJ,"On a network without much complexity, it works. Must be running in managed mode to support Spanning Tree Protocol, otherwise it goes into an infinite loop of traffic if you accidentally plug multiple in multiple Ethernet cables to the same source. Like if your wiring is as bad as our closet, it can happen, and you've got yourself a major headache. the GUI for the web management works pretty well, provided you don't lose power. Power loss supremely mucks these switches up, even after an update from dell. Been running a few of these with full load with fiber uplink. No problems otherwise with general use.",,Power Conect 2748,"Jun  8, 2010",16,3.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Opie7423,"Take a lickin' and keep on switchin'. If I knew then what I know now, I wouldn't buy one. But there are much, much worse devices to inherit.",,Power Conect 2748,"Jan  6, 2010",16,4.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),KevinRitchey,we actually have the 2848 and the 2748 - both nice little department switches. But I inherited them. I doubt I would buy one new.,,Power Conect 2748,"Jan  6, 2010",16,3.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Pat.net ver 2.0,Too bad I can't give it a .5 or no star review. This is a giant piece of crap. Everytime we have a power failure it resets to the default IP settings. When I called Dells tech support they said it was a known issue and that their engineers were working on it. Spend the money and get a real switch.,,Power Conect 2748,"Dec 29, 2009",16,1.0,0,4.1,,21
